Event,Px,Py,Pz,Tot-OpAbs,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons,NOfScintPhotons
0,0.0966128,0.71337,-0.694096,3203.24,2970.16,0.0,233.078,0.0,0.0,0.0,0.0,105.295,0.0,4772,32654
1,0.995937,0.00615154,-0.0898447,10544.4,9727.94,0.0,816.453,0.0,0.0,0.0,0.0,354.488,0.0,13876,107292
2,-0.919374,-0.330741,0.212983,9630.69,9477.86,0.0,152.83,0.0,0.0,0.0,0.0,323.375,0.0,12699,98214
3,-0.688242,0.368735,0.624785,3570.4,3138.85,0.0,431.546,0.0,0.0,0.0,0.0,117.958,0.0,5240,36366
4,0.881342,0.323009,0.344819,5782.93,5265.84,0.0,517.09,0.0,0.0,0.0,0.0,193.117,0.0,7876,59039
5,0.66669,-0.0914209,-0.739707,2701.17,2282.42,0.0,418.754,0.0,0.0,0.0,0.0,89.0178,0.0,4148,27617
6,0.0464689,0.688192,0.724039,2719.89,2702.68,0.0,17.2101,0.0,0.0,0.0,0.0,89.5989,0.0,4064,27775
7,0.195124,-0.912351,0.359919,6057.89,5860.29,0.0,197.597,0.0,0.0,0.0,0.0,201.731,0.0,8458,61702
8,0.858508,-0.457847,-0.230955,7886.27,6571.93,0.0,137.394,0.0,148.899,821.159,206.887,265.741,0.0,10453,80487
9,0.765874,0.125147,-0.630694,3532.97,3049.09,0.0,483.881,0.0,0.0,0.0,0.0,117.004,0.0,5232,36000
10,-0.272489,-0.718539,-0.639884,2931.33,2709.03,0.0,222.296,0.0,0.0,0.0,0.0,97.2044,0.0,4300,29990
11,0.35064,-0.935878,0.0344049,12232.1,11051.1,0.0,584.211,0.0,134.712,462.018,0.0,410.073,0.0,16037,124342
12,0.646986,-0.758738,-0.0756622,16158.5,13910.9,0.0,1068.18,116.289,281.666,781.461,0.0,542.076,0.0,20909,164058
13,0.168893,0.720257,0.672834,3217.05,3000.88,0.0,216.168,0.0,0.0,0.0,0.0,106.109,0.0,4872,32812
14,0.14259,0.128571,0.981396,2275.85,1926.88,0.0,348.965,0.0,0.0,0.0,0.0,70.6994,0.0,4610,23226
15,-0.113644,-0.564668,0.817456,2686.93,2463.95,0.0,222.989,0.0,0.0,0.0,0.0,87.9215,0.0,4136,27385
16,-0.0917126,0.519901,-0.849289,2445.82,2282.84,0.0,162.981,0.0,0.0,0.0,0.0,79.604,0.0,3949,24968
17,0.906903,0.100599,-0.409153,4496.05,4214.77,0.0,281.278,0.0,0.0,0.0,0.0,151.154,0.0,6216,45992
18,-0.693599,0.714161,-0.0943148,15940.4,14049.2,0.0,1166.17,0.0,239.876,412.584,72.58,535.933,0.0,20575,161716
19,0.660155,-0.639587,0.393856,4732.03,4522.07,0.0,209.961,0.0,0.0,0.0,0.0,158.451,0.0,6484,48390
20,0.328799,0.000507931,-0.9444,2589.23,2091.98,0.0,497.247,0.0,0.0,0.0,0.0,82.1638,0.0,4654,26366
21,0.631916,-0.398046,0.665012,3988.15,3364.42,0.0,262.918,0.0,148.972,211.843,0.0,132.501,0.0,5733,40605
22,0.179007,0.667756,0.722537,3151.38,3094.53,0.0,56.8511,0.0,0.0,0.0,0.0,104.179,0.0,4629,32109
23,-0.865083,0.487936,-0.116406,14302.9,13921.9,0.0,216.515,0.0,148.863,15.5739,0.0,479.647,0.0,18635,145264
24,-0.444383,-0.891042,0.0925622,13422.5,12355.7,0.0,673.502,0.0,136.462,256.905,0.0,449.686,0.0,17500,136159
25,0.595889,-0.542693,-0.591946,3651.77,3183.94,0.0,467.833,0.0,0.0,0.0,0.0,120.921,0.0,5305,37266
26,-0.563554,-0.794355,0.226733,8317.05,7273.9,0.0,343.716,0.0,148.999,550.434,0.0,277.449,0.0,11313,84794
27,0.941853,-0.193553,0.274683,7004.27,6164.21,0.0,238.821,0.0,126.835,474.402,0.0,234.085,0.0,9544,71472
28,-0.227814,0.0780691,0.97057,2042.25,1683.7,0.0,358.549,0.0,0.0,0.0,0.0,64.6443,0.0,3848,20877
29,-0.539707,0.189142,-0.82033,2682.77,2407.31,0.0,275.461,0.0,0.0,0.0,0.0,87.7112,0.0,4233,27348
30,-0.713058,0.685415,0.147492,15852.5,14357.9,0.0,362.332,0.0,281.573,850.663,0.0,530.597,0.0,20628,160805
31,0.637201,-0.657428,0.402198,7603.05,6521.31,0.0,330.827,0.0,272.564,299.266,179.079,255.328,0.0,10343,77683
32,0.495213,-0.524544,0.692545,2956.79,2697.85,0.0,258.939,0.0,0.0,0.0,0.0,97.8084,0.0,4332,30167
33,0.799928,0.126926,-0.586519,3920.86,3606.53,0.0,314.328,0.0,0.0,0.0,0.0,130.007,0.0,5661,39931
34,-0.425592,-0.0856627,-0.900852,2237.28,1888.92,0.0,348.353,0.0,0.0,0.0,0.0,72.7552,0.0,3668,22873
35,-0.432567,0.648799,-0.626056,3022.78,2471.58,0.0,551.199,0.0,0.0,0.0,0.0,99.9369,0.0,4533,30924
36,-0.933096,-0.15703,0.323533,7559.96,6574.23,0.0,363.137,0.0,148.83,473.761,0.0,253.933,0.0,10342,77251
37,-0.878415,0.47689,0.03102,13985.7,11883.1,0.0,1100.26,0.0,278.811,723.537,0.0,468.516,0.0,18244,141925
38,-0.164097,-0.981891,0.0946717,11814.4,11271.2,0.0,3.40592,0.0,146.956,392.84,0.0,397.155,0.0,15505,120325
39,-0.647585,0.687361,0.328889,7193.42,5906.88,0.0,277.525,0.0,0.0,345.966,663.053,241.726,0.0,9639,73537
40,0.552397,0.275688,-0.786673,3173.63,2814.88,0.0,358.751,0.0,0.0,0.0,0.0,103.818,0.0,4890,32265
41,0.813276,0.504635,-0.289699,7682.89,6322.17,0.0,486.482,0.0,293.006,458.703,122.53,258.354,0.0,10209,78336
42,0.291529,-0.951891,-0.0944147,10284.0,10044.8,0.0,239.173,0.0,0.0,0.0,0.0,346.667,0.0,13588,104865
43,0.41999,0.735932,-0.531048,3633.85,3503.8,0.0,130.052,0.0,0.0,0.0,0.0,121.108,0.0,5139,37159
44,-0.972636,-0.219015,-0.0775352,10782.4,9621.35,0.0,979.386,0.0,149.012,32.6409,0.0,361.587,0.0,14277,109786
45,-0.321531,0.867176,0.380293,5645.29,5268.54,0.0,376.755,0.0,0.0,0.0,0.0,188.926,0.0,7882,57543
46,-0.225331,-0.646438,-0.728933,2591.94,2534.39,0.0,57.5478,0.0,0.0,0.0,0.0,85.4801,0.0,3904,26541
47,0.925745,0.377349,0.0245781,11891.1,11268.4,0.0,288.73,0.0,139.174,194.794,0.0,398.974,0.0,15766,120911
48,-0.65127,0.570993,-0.499815,4005.95,3722.82,0.0,283.124,0.0,0.0,0.0,0.0,133.348,0.0,5707,40848
49,-0.634958,0.208081,-0.743996,3222.76,2258.3,0.0,441.582,0.0,148.88,373.996,0.0,107.089,0.0,4920,33052
50,-0.109701,0.518216,0.848185,2630.12,2524.39,0.0,105.728,0.0,0.0,0.0,0.0,85.7826,0.0,4155,26811
51,0.506645,-0.417627,-0.754254,2363.25,2112.41,0.0,250.84,0.0,0.0,0.0,0.0,78.0625,0.0,3628,24179
52,0.793223,0.607803,-0.0370491,15034.7,14435.3,0.0,599.376,0.0,0.0,0.0,0.0,503.738,0.0,19516,152576
53,-0.864253,-0.483738,0.13807,12386.7,11447.1,0.0,939.632,0.0,0.0,0.0,0.0,415.796,0.0,16159,125888
54,0.529679,0.710756,-0.462889,5559.28,4870.12,0.0,689.16,0.0,0.0,0.0,0.0,184.494,0.0,7787,56536
55,-0.247194,0.635846,0.73116,3295.1,2503.83,0.0,273.96,0.0,145.438,232.977,138.904,108.862,0.0,4878,33615
56,0.263931,0.369622,-0.89091,2868.33,2374.04,0.0,42.4719,0.0,119.195,332.62,0.0,90.8094,0.0,5266,29302
57,-0.457569,0.682675,-0.569724,2928.75,2550.12,0.0,378.631,0.0,0.0,0.0,0.0,96.2363,0.0,4569,29902
58,-0.392703,0.899137,-0.193227,7864.52,7059.62,0.0,388.455,0.0,148.768,267.68,0.0,263.571,0.0,10837,80328
59,-0.990103,-0.137874,-0.0262166,13726.5,13013.0,0.0,329.296,0.0,297.518,86.6724,0.0,459.365,0.0,18149,139562
60,-0.137825,-0.23472,-0.962243,2181.85,1748.47,0.0,433.382,0.0,0.0,0.0,0.0,67.0908,0.0,4496,22273
61,0.978464,-0.160105,0.130287,10417.0,9039.46,0.0,882.814,0.0,140.67,354.1,0.0,350.075,0.0,13933,106148
62,-0.262784,0.812878,-0.519783,4822.45,4030.67,0.0,353.576,0.0,149.015,289.192,0.0,160.325,0.0,7051,49294
63,0.790351,0.46154,-0.402897,4430.9,4238.39,0.0,192.516,0.0,0.0,0.0,0.0,147.784,0.0,6319,45313
64,-0.10757,0.156124,-0.981863,2754.78,1564.72,0.0,643.663,0.0,148.991,397.41,0.0,80.9619,0.0,6686,28038
65,0.779168,-0.498265,0.380301,5886.32,5831.19,0.0,55.1262,0.0,0.0,0.0,0.0,195.259,0.0,8243,59960
66,-0.802478,-0.595043,-0.0441804,14237.9,12573.8,0.0,999.89,0.0,73.7928,187.116,403.321,478.234,0.0,18528,144692
67,-0.93091,-0.140291,0.337232,6601.46,5735.05,0.0,426.445,0.0,149.015,290.948,0.0,220.132,0.0,9160,67267
68,-0.809127,-0.477536,-0.342452,6623.23,5819.4,0.0,329.37,0.0,145.408,329.051,0.0,221.144,0.0,9087,67496
69,-0.417736,0.675737,-0.607352,3184.02,3037.61,0.0,146.404,0.0,0.0,0.0,0.0,105.685,0.0,4564,32571
70,-0.362375,0.0556439,-0.93037,2506.53,1802.61,0.0976849,370.452,132.531,149.139,51.7038,0.0,80.4519,0.0,4330,25567
71,-0.82126,0.536199,0.194996,9411.9,8340.34,0.0,422.402,0.0,135.087,265.654,248.412,316.546,0.0,12290,96096
72,0.822953,0.192924,0.534349,3827.04,3433.35,0.0,393.699,0.0,0.0,0.0,0.0,127.348,0.0,5580,39056
73,0.905221,0.0277039,-0.424037,5030.38,3986.64,0.0,381.046,0.0,148.993,513.703,0.0,167.653,0.0,7112,51361
74,0.619065,0.236136,-0.748999,2608.6,2287.28,0.0,321.324,0.0,0.0,0.0,0.0,85.926,0.0,4003,26673
75,0.850141,0.15998,-0.501664,3989.37,3632.92,0.0,356.451,0.0,0.0,0.0,0.0,133.235,0.0,5646,40757
76,0.767546,-0.0806046,0.635905,3885.46,3121.08,0.0,420.914,0.0,148.887,31.4895,163.092,128.454,0.0,5722,39633
77,-0.758774,-0.152311,-0.633296,3085.73,2616.95,0.0,468.782,0.0,0.0,0.0,0.0,102.068,0.0,4557,31492
78,0.285047,-0.66086,0.694271,2604.87,2485.4,0.0,119.469,0.0,0.0,0.0,0.0,86.0943,0.0,3891,26669
79,-0.681511,-0.605866,-0.410449,4678.16,4253.41,0.0,424.755,0.0,0.0,0.0,0.0,156.592,0.0,6612,47821
80,-0.29076,-0.956785,0.00449927,10065.8,9781.0,0.0,284.833,0.0,0.0,0.0,0.0,339.217,0.0,13235,102691
81,-0.958733,0.138622,-0.248224,8167.56,8139.92,0.0,27.6421,0.0,0.0,0.0,0.0,275.943,0.0,10666,83408
82,-0.596065,-0.470151,0.650895,3149.75,2584.46,0.0,565.283,0.0,0.0,0.0,0.0,104.45,0.0,4608,32171
83,-0.68664,0.0761865,-0.722995,2778.69,2765.31,0.0,13.3801,0.0,0.0,0.0,0.0,91.1877,0.0,4329,28400
84,-0.0133623,-0.475091,0.879835,2511.56,2493.14,0.0,18.4143,0.0,0.0,0.0,0.0,81.4445,0.0,4140,25630
85,-0.975343,-0.198237,0.0969928,10551.6,9724.99,0.0,338.79,0.0,148.018,339.796,0.0,354.709,0.0,13944,107383
86,-0.118841,-0.502306,-0.856484,2745.03,2623.48,0.0,121.552,0.0,0.0,0.0,0.0,89.709,0.0,4329,27935
87,-0.261326,-0.0370498,-0.964539,2233.99,1863.91,0.0,370.077,0.0,0.0,0.0,0.0,68.7394,0.0,4679,22820
88,0.52893,0.6232,-0.576068,3992.75,3187.91,0.0,332.724,0.0,97.8752,374.239,0.0,132.194,0.0,5814,40694
89,0.446243,0.893488,0.0504564,10874.3,10674.5,0.0,199.789,0.0,0.0,0.0,0.0,366.113,0.0,14331,110843
90,-0.991528,-0.0172712,0.12874,11299.0,9978.8,0.0,716.693,0.0,148.828,277.104,177.585,378.507,0.0,15154,115023
91,0.112326,0.587418,0.80145,2986.78,2408.37,0.0,395.527,0.0,148.877,34.0033,0.0,98.3692,0.0,4540,30494
92,-0.235404,-0.481315,-0.844346,2329.53,2187.52,0.0,142.003,0.0,0.0,0.0,0.0,76.1894,0.0,3726,23862
93,-0.365057,-0.297986,0.882008,2161.86,2136.02,0.0,25.8453,0.0,0.0,0.0,0.0,69.9468,0.0,3612,22114
94,0.263575,0.953508,-0.146115,11133.5,10768.3,0.0,199.658,0.0,148.838,16.6222,0.0,374.33,0.0,14580,113330
95,0.229625,0.231603,-0.945321,2453.37,1917.63,0.0,123.928,0.0,148.662,263.144,0.0,78.0238,0.0,4494,25018
96,0.30478,-0.722092,0.621041,3162.29,3095.05,0.0,67.2421,0.0,0.0,0.0,0.0,104.306,0.0,4741,32275
97,-0.294336,-0.319808,0.900605,2151.56,1791.53,0.0,360.026,0.0,0.0,0.0,0.0,69.6911,0.0,3635,21955
98,0.167482,-0.976427,0.136166,12801.4,11519.9,0.0,231.038,0.0,431.066,619.41,0.0,429.156,0.0,16755,130151
99,-0.805852,-0.145376,-0.573993,3523.99,3155.72,0.0,368.266,0.0,0.0,0.0,0.0,117.657,0.0,4992,35997
100,-0.466488,0.649835,0.600086,3995.53,3270.96,0.0,154.235,0.0,145.586,424.757,0.0,131.447,0.0,6066,40789
101,0.00693175,0.513214,0.858233,2403.18,2319.63,0.0,83.5506,0.0,0.0,0.0,0.0,78.3894,0.0,3834,24532
102,-0.510911,0.185571,0.839365,2946.41,2623.25,0.0,323.164,0.0,0.0,0.0,0.0,95.2319,0.0,4811,29980
103,-0.538909,0.816593,0.206769,9479.83,9095.57,0.0,31.1845,0.0,145.12,201.612,6.34943,317.537,0.0,12676,96544
104,0.242165,-0.947954,-0.206734,9545.81,9078.25,0.0,467.565,0.0,0.0,0.0,0.0,321.008,0.0,12675,97265
105,-0.504287,-0.859667,-0.081652,12977.9,11763.1,0.0,214.414,0.0,279.229,721.185,0.0,435.771,0.0,16908,131871
106,0.569909,-0.776315,0.269329,8402.47,6792.52,0.0,380.289,0.0,106.614,315.91,807.137,282.575,0.0,11256,85859
107,0.491976,-0.712059,-0.50093,3700.32,3358.43,0.0,341.896,0.0,0.0,0.0,0.0,123.317,0.0,5318,37842
108,-0.215867,0.061493,-0.974485,2801.66,2208.82,0.0,28.5588,0.0,141.838,202.459,219.978,90.1082,0.0,4955,28727
109,0.374333,0.914425,-0.153956,12662.9,10698.6,0.0,913.824,0.0,430.332,620.155,0.0,423.855,0.0,16721,128994
110,-0.628013,-0.484912,-0.608654,3043.41,2606.67,0.0,436.745,0.0,0.0,0.0,0.0,100.493,0.0,4510,31101
111,-0.53988,-0.841261,-0.0284528,12233.9,11436.8,0.0,332.613,0.0,125.556,338.927,0.0,410.696,0.0,15948,124464
112,-0.947965,0.151075,0.280248,7431.86,6975.4,0.0,122.97,0.0,149.0,184.488,0.0,248.427,0.0,10274,75810
113,0.942107,-0.0410316,-0.332794,5807.94,5722.32,0.0,85.6211,0.0,0.0,0.0,0.0,194.531,0.0,7846,59277
114,-0.813312,-0.566875,0.131056,17368.2,15053.8,0.0,1480.41,0.0,429.528,404.438,0.0,579.27,0.0,22717,175762
115,0.143711,0.383674,-0.912218,2227.82,1860.43,0.0,367.384,0.0,0.0,0.0,0.0,72.1904,0.0,3782,22730
116,-0.152805,0.865682,0.476704,3872.65,3840.27,0.0,32.3829,0.0,0.0,0.0,0.0,129.211,0.0,5577,39632
117,-0.634391,0.202652,-0.745976,2492.43,2141.16,0.0,351.276,0.0,0.0,0.0,0.0,82.3275,0.0,3852,25543
118,-0.0585714,0.937754,-0.342325,6264.5,5510.01,0.0,283.355,0.0,296.05,175.091,0.0,209.966,0.0,8586,63962
119,-0.499984,-0.726074,-0.472051,3758.92,3677.05,0.0,81.8775,0.0,0.0,0.0,0.0,124.939,0.0,5532,38525
120,-0.778172,0.438928,-0.44921,4373.18,4081.62,0.0,291.555,0.0,0.0,0.0,0.0,145.269,0.0,6228,44628
121,-0.619534,0.765842,0.172228,11323.1,10920.4,0.0,27.4444,0.0,146.205,229.045,0.0,379.995,0.0,14927,115255
122,0.88455,-0.349466,-0.308941,8406.57,6721.98,0.0,259.821,0.0,271.06,907.992,245.708,282.641,0.0,11003,85721
123,0.068613,0.385504,-0.920151,2605.1,2401.5,0.0,203.601,0.0,0.0,0.0,0.0,83.4432,0.0,4412,26525
124,0.436521,0.0159154,-0.899553,2241.04,1887.44,0.0,351.843,0.0,0.0,0.0,1.76558,72.3081,0.0,3747,22889
125,-0.692211,-0.716817,-0.0837697,18566.3,15676.9,0.0,418.0,0.0,358.13,2113.3,0.0,620.621,0.0,24149,187891
126,-0.275201,-0.314393,0.908527,2060.06,1727.76,0.0,332.298,0.0,0.0,0.0,0.0,66.4758,0.0,3588,21093
127,0.824048,-0.512499,0.241432,9859.17,8737.28,0.0,555.418,0.0,130.625,277.652,158.198,332.239,0.0,13116,100636
128,-0.00103069,-0.770431,-0.637523,2979.22,2841.77,0.0,137.447,0.0,0.0,0.0,0.0,97.2223,0.0,4636,30359
129,0.287381,0.688449,0.66592,2897.52,2392.33,0.0,505.188,0.0,0.0,0.0,0.0,96.3812,0.0,4227,29647
130,0.39048,0.684129,-0.61603,3196.41,3150.83,0.0,45.5804,0.0,0.0,0.0,0.0,106.288,0.0,4639,32676
131,-0.879372,0.0850404,-0.468479,4461.17,4171.45,0.0,289.719,0.0,0.0,0.0,0.0,148.493,0.0,6301,45446
132,0.326916,-0.374252,-0.867791,2196.01,2078.51,0.0,117.495,0.0,0.0,0.0,0.0,71.7783,0.0,3553,22469
133,-0.688281,0.623676,0.370538,4703.37,4463.63,0.0,239.747,0.0,0.0,0.0,0.0,157.089,0.0,6512,48063
134,0.479228,-0.876548,-0.0447675,15349.1,13459.8,0.0,238.179,0.0,444.297,1206.82,0.0,513.86,0.0,20160,155717
135,-0.98251,0.0552448,-0.177824,12610.1,10244.5,0.0,1113.99,0.0,297.073,484.538,470.039,421.365,0.0,16693,127959
136,0.510781,0.828795,0.228478,8693.62,7426.13,0.0,603.258,0.0,95.9301,338.234,230.065,291.862,0.0,11619,88694
137,-0.624935,-0.775503,-0.0897285,14556.2,12696.7,0.0,1465.95,0.0,142.432,251.171,0.0,489.615,0.0,18622,147823
138,-0.637996,0.542264,0.546727,3470.62,3328.42,0.0,142.195,0.0,0.0,0.0,0.0,115.529,0.0,5023,35492
139,-0.754318,0.322174,0.572021,3561.82,3110.07,0.0,451.745,0.0,0.0,0.0,0.0,118.186,0.0,5180,36364
140,-0.284726,-0.860857,-0.421731,4983.3,3991.12,0.0,337.929,0.0,148.983,351.243,154.025,166.296,0.0,6969,50917
141,0.407026,0.891924,-0.19698,11555.7,10108.4,0.0,867.98,0.0,298.004,281.331,0.0,388.646,0.0,15009,117585
142,0.763186,0.0104088,-0.646095,2799.99,2564.12,0.0,235.865,0.0,0.0,0.0,0.0,93.3677,0.0,4100,28677
143,-0.920398,-0.382195,-0.0824256,11166.6,10873.0,0.0,293.642,0.0,0.0,0.0,0.0,374.832,0.0,14650,113564
144,0.512525,0.840933,-0.173637,8951.55,8674.86,0.0,276.692,0.0,0.0,0.0,0.0,301.387,0.0,11985,91313
145,-0.32039,-0.770646,-0.550867,3871.02,3116.99,0.0,266.903,0.0,146.524,340.603,0.0,127.879,0.0,5764,39524
146,-0.700971,0.685832,-0.195639,11463.7,9542.27,0.0,616.087,0.0,181.389,766.492,357.413,383.665,0.0,15209,116469
147,-0.680495,-0.708403,-0.187328,9887.72,8969.69,0.0,599.418,0.0,59.8026,258.808,0.0,331.427,0.0,13237,100709
148,0.486526,0.872572,-0.0437058,13052.2,12147.5,0.0,684.195,0.0,147.531,73.0359,0.0,438.528,0.0,16999,132745
149,0.721524,0.656595,0.21974,9224.92,7627.03,0.0,161.034,0.0,415.589,779.564,241.695,311.681,0.0,12127,94189
150,-0.380317,-0.746369,-0.546162,4117.03,3292.33,0.0,373.787,0.0,148.984,301.928,0.0,136.154,0.0,5994,42006
151,0.72886,0.303891,-0.613525,3823.3,3442.98,0.0,138.381,0.0,140.728,101.206,0.0,126.285,0.0,5585,39019
152,-0.523468,0.801441,-0.289263,7337.48,6192.67,0.0,191.225,0.0,267.75,685.839,0.0,245.846,0.0,10088,74915
153,0.613567,0.774076,0.156018,16774.3,13349.8,0.0,1298.51,0.0,559.387,1210.38,356.204,562.03,0.0,21699,169966
154,-0.447235,0.568184,-0.690758,3436.18,2927.74,0.0,39.0305,0.0,0.0,469.412,0.0,113.22,0.0,5128,35017
155,-0.67589,0.316206,0.665722,2886.06,2664.45,0.0,221.608,0.0,0.0,0.0,0.0,95.966,0.0,4340,29530
156,0.697619,0.584085,0.414937,4755.13,4098.8,0.0,325.406,0.0,147.356,183.57,0.0,159.824,0.0,6501,48617
157,0.0857536,-0.587264,0.80484,2684.56,2298.4,0.0,386.155,0.0,0.0,0.0,0.0,87.8873,0.0,4162,27412
158,0.639585,0.496316,-0.587027,3557.78,2839.07,0.0,221.899,0.0,0.0,278.932,217.875,118.424,0.0,5238,36488
159,0.978486,-0.0632477,-0.196379,10302.9,9335.11,0.0,427.682,0.0,143.632,396.508,0.0,346.024,0.0,13581,104975
160,-0.780928,0.208708,0.588721,4299.86,2515.94,0.0,349.751,0.0,292.031,930.235,211.902,142.924,0.0,6129,43875
161,0.636346,-0.745828,0.19699,14109.8,12313.9,0.0,409.392,0.0,295.509,621.974,469.035,475.47,0.0,18251,143596
162,-0.520423,-0.543796,-0.658366,3786.55,2495.87,0.0,357.579,0.0,297.797,378.075,257.23,125.782,0.0,5586,38724
163,0.354119,-0.700905,0.619138,3157.38,2895.51,0.0,261.876,0.0,0.0,0.0,0.0,104.832,0.0,4659,32315
164,0.362614,-0.414732,0.834571,2380.39,2260.66,0.0,119.723,0.0,0.0,0.0,0.0,78.4469,0.0,3647,24301
165,-0.713332,-0.471527,-0.518478,3930.39,3774.72,0.0,155.672,0.0,0.0,0.0,0.0,130.464,0.0,5680,40139
166,-0.450106,0.237891,0.860705,3442.22,2274.6,0.0,83.8375,50.653,204.18,637.778,191.17,112.65,0.0,5332,35081
167,0.590766,0.727397,0.349125,6251.35,4636.3,0.0,417.228,0.0,296.789,430.619,470.409,209.963,0.0,8506,63965
168,0.832886,0.548099,-0.0767331,14366.0,12372.0,0.0,134.574,29.2027,297.645,1532.29,0.0,480.129,0.288,18755,145690
169,-0.853772,-0.0696284,-0.51597,3616.61,3372.71,0.0,243.904,0.0,0.0,0.0,0.0,119.503,0.0,5308,36988
170,-0.431282,0.252252,0.866236,2274.88,2188.18,0.0,86.7028,0.0,0.0,0.0,0.0,74.1663,0.0,3737,23248
171,0.955814,0.182851,0.230186,8149.45,8087.94,0.0,61.509,0.0,0.0,0.0,0.0,273.615,0.0,10925,83014
172,-0.653966,-0.755926,-0.030068,19620.3,17922.6,0.0,373.247,0.0,279.918,1044.52,0.0,655.536,0.0,25258,198224
173,-0.718909,-0.691882,-0.0668445,15696.2,13331.4,0.0,764.114,0.0,296.767,1299.59,4.32396,526.7,0.0,20678,159599
174,-0.10936,-0.989465,-0.0948692,10804.7,9872.5,0.0,416.395,0.0,140.536,375.266,0.0,362.628,0.0,14182,109953
175,0.271656,-0.592978,0.75801,2493.05,2192.37,0.0,300.675,0.0,0.0,0.0,0.0,83.0025,0.0,3737,25565
176,-0.952197,-0.293678,-0.0841029,14057.5,12027.0,0.0,472.879,0.0,440.145,957.718,159.828,471.05,0.0,18377,142862
177,0.924914,-0.147237,0.350506,6344.21,6016.53,0.0,327.678,0.0,0.0,0.0,0.0,211.867,0.0,8766,64781
178,0.69779,0.669027,0.255915,8016.8,7489.2,0.0,34.8546,0.0,109.805,382.949,0.0,268.449,0.0,10874,81724
179,-0.275666,0.960582,-0.0359121,13363.9,11153.3,0.0,115.759,0.0,590.017,1504.8,0.0,447.175,0.0,17817,135905
180,-0.323229,0.0366213,0.945612,2225.79,1814.73,0.0,411.06,0.0,0.0,0.0,0.0,70.956,0.0,3910,22678
181,0.431625,-0.845853,-0.313422,6469.53,5657.77,0.0,113.844,0.0,149.015,548.904,0.0,216.21,0.0,8999,66005
182,0.840973,-0.126325,0.526124,4326.0,3912.93,0.0,413.065,0.0,0.0,0.0,0.0,143.895,0.0,6226,44136
183,0.0711709,-0.236485,0.969025,3309.97,2206.35,0.0,395.579,0.0,296.816,411.232,0.0,105.4,0.0,5933,33771
184,-0.608231,-0.587882,0.533338,3625.47,3541.72,0.0,83.7515,0.0,0.0,0.0,0.0,120.411,0.0,5318,37020
185,0.0653943,-0.978178,0.197207,9541.18,8980.42,0.0,160.607,0.0,147.853,252.298,0.0,320.121,0.0,12746,97226
186,-0.220181,-0.975401,-0.0106555,9501.08,8832.44,0.0,668.645,0.0,0.0,0.0,0.0,320.371,0.0,12622,97029
187,0.188729,0.972643,0.135451,11223.1,10229.8,0.0,456.925,0.0,284.664,76.552,175.187,378.016,0.0,14610,114404
188,-0.426369,0.83712,-0.342695,5477.42,5295.76,0.0,181.657,0.0,0.0,0.0,0.0,184.158,0.0,7470,56005
189,0.792832,0.195971,-0.577073,4015.23,2944.92,0.0,367.436,0.0,148.371,278.238,276.258,133.1,0.0,5811,40957
190,-0.572826,-0.243157,-0.78278,3314.58,2409.2,0.0,454.569,0.0,137.288,313.523,0.0,108.526,0.0,5212,33856
191,-0.352706,-0.788859,-0.503289,4206.34,3878.94,0.0,327.395,0.0,0.0,0.0,0.0,139.829,0.0,5919,42915
192,-0.192629,0.90748,0.373329,5015.45,4871.52,0.0,143.933,0.0,0.0,0.0,0.0,167.467,0.0,7049,51351
193,0.482998,0.872731,-0.0710947,13778.1,11218.4,0.0,1372.68,0.0,296.038,891.0,0.0,462.526,0.0,17815,139878
194,-0.269048,-0.937297,-0.221558,9976.85,9483.29,0.0,493.555,0.0,0.0,0.0,0.0,335.422,0.0,13304,101614
195,0.25404,-0.817242,-0.51728,4385.66,3839.46,0.0,124.769,0.0,149.004,272.427,0.0,146.088,0.0,6423,44901
196,0.720438,0.684662,0.110488,19522.3,17800.9,0.0,185.411,0.0,399.007,680.035,456.877,653.294,0.0,25283,197654
197,-0.0223061,0.989786,-0.140805,9544.76,9330.22,0.0,214.544,0.0,0.0,0.0,0.0,320.612,0.0,12772,97397
198,0.899198,0.401781,0.173251,10232.3,9993.23,0.0,87.9951,0.0,148.421,2.65689,0.0,343.893,0.0,13612,104175
199,-0.609087,0.44457,0.656788,2892.59,2679.3,0.0,213.288,0.0,0.0,0.0,0.0,96.0673,0.0,4257,29585
200,-0.358921,0.0393502,0.932538,2198.17,1728.3,0.0,469.864,0.0,0.0,0.0,0.0,71.0657,0.0,3739,22486
201,-0.347273,-0.860912,0.371795,5791.98,5109.01,0.0,244.917,0.0,144.141,291.344,2.56916,192.855,0.0,8122,59028
202,0.719813,-0.235657,0.652943,3563.4,3213.54,0.0,349.857,0.0,0.0,0.0,0.0,117.217,0.0,5339,36274
203,-0.0112759,0.354946,-0.934819,1994.34,1690.8,0.0,303.538,0.0,0.0,0.0,0.0,64.0269,0.0,3430,20397
204,0.870752,-0.478665,-0.11257,12657.2,11511.0,0.0,876.543,0.0,248.729,20.9214,0.0,426.272,0.0,16303,128823
205,-0.794962,-0.282012,-0.537126,3553.0,3468.69,0.0,84.3079,0.0,0.0,0.0,0.0,118.994,0.0,5072,36365
