#class tools::wcsv::ntuple
#title Event
#separator 44
#vector_separator 59
#column int Event
#column double Px
#column double Py
#column double Pz
#column double Tot - OpAbs
#column double Cerenkov
#column double compt
#column double CoupledTransportation
#column double eBrem
#column double eIon
#column double msc
#column double muIoni
#column double OpAbsorption
#column double phot
#column int NOfOptPhotons
0,0,0,-1,249.772,167.189,0,0,0,82.5831,0,0,1.16513,0,7893
1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
3,0,0,-1,92.4735,0,0,0,0,92.4735,0,0,0.363852,0,2840
4,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
6,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
7,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
8,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
9,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
10,0,0,-1,662,182.026,0,0,0,55.785,0,360.869,3.00728,63.32,20964
11,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,-1,258.118,156.58,0,0,0,101.538,0,0,1.13334,0,8191
13,0,0,-1,662,396.427,0,0,0,202.253,0,0,3.07144,63.32,20772
14,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
15,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
16,0,0,-1,108.109,6.24646,0,0,0,101.863,0,0,0.509011,0,3443
17,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
18,0,0,-1,662,497.662,0,0,0,101.018,0,0,3.16749,63.32,20802
19,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
20,0,0,-1,100.267,0,0,0,0,100.267,0,0,0.401815,0,3211
21,0,0,-1,190.616,113.779,0,0,0,76.8374,0,0,0.698583,0,6072
22,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
23,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
24,0,0,-1,403.487,22.0603,0,0,17.0542,101.934,0,251.562,1.98062,10.876,12660
25,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
26,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
27,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
28,0,0,-1,662,295.36,0,0,0,303.32,0,0,3.26599,63.32,20575
29,0,0,-1,662,501.324,0,0,0,97.3558,0,0,3.34453,63.32,20448
30,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
31,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
32,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
33,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
34,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
35,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
36,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
37,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
38,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
39,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
41,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
42,0,0,-1,171.3,55.4075,0,0,0,77.7872,0,38.1053,0.748494,0,5466
43,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
44,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
45,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
46,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
47,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
48,0,0,-1,662,498.083,0,0,0,100.597,0,0,3.25965,63.32,20639
49,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
350,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
351,0,0,-1,305.943,217.47,0,0,0,88.4728,0,0,1.53115,0,9416
352,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
353,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
354,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
355,0,0,-1,662,413.167,0,0,0,185.513,0,0,3.36384,63.32,20806
356,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
357,0,0,-1,464.928,258.876,0,8.04615,0,38.588,0,157.148,1.79907,2.27,14633
358,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
