#class tools::wcsv::ntuple
#title Event
#separator 44
#vector_separator 59
#column int Event
#column double Px
#column double Py
#column double Pz
#column double Tot - OpAbs
#column double Cerenkov
#column double compt
#column double CoupledTransportation
#column double eBrem
#column double eIon
#column double msc
#column double muIoni
#column double OpAbsorption
#column double phot
#column int NOfOptPhotons
0,0,0,-1,249.772,167.189,0,0,0,82.5831,0,0,4.54902,0,6615
1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,-1,460.741,359.674,0,0,0,101.067,0,0,8.52031,0,12352
3,0,0,-1,92.4735,0,0,0,0,92.4735,0,0,1.7978,0,2334
4,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
6,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
7,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
8,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
9,0,0,-1,145.08,43.3447,0,0,0,101.735,0,0,2.72409,0,3946
10,0,0,-1,662,518.742,0,0,0,79.9381,0,0,12.1199,63.32,17391
11,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,-1,258.118,170.992,0,0,0,87.1256,0,0,5.10963,0,6709
13,0,0,-1,662,401.692,0,0,0,196.988,0,0,12.4811,63.32,17572
14,0,0,-1,662,496.686,0,0,0,101.994,0,0,12.2612,63.32,17487
15,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
16,0,0,-1,108.109,6.41986,0,0,0,101.689,0,0,2.10317,0,2879
17,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
18,0,0,-1,662,523.28,0,0,0,75.3999,0,0,12.5298,63.32,17396
19,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
20,0,0,-1,121.036,0,0,0,0,121.036,0,0,2.11976,0,3155
21,0,0,-1,190.616,114.017,0,0,0,76.5994,0,0,3.41841,0,4990
22,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
23,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
24,0,0,-1,662,205.323,0,0,0,94.5383,0,351.263,12.4145,10.876,17376
25,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
26,0,0,-1,68.411,0,0,0,0,68.411,0,0,1.27061,0,1806
27,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
28,0,0,-1,662,308.971,0,0,0,289.709,0,0,12.2988,63.32,17404
29,0,0,-1,662,523.723,0,0,0,74.9568,0,0,12.6294,63.32,17383
30,0,0,-1,292.169,210.132,0,0,0,82.0378,0,0,5.29791,0,7581
31,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
32,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
33,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
34,0,0,-1,662,498.379,0,0,0,100.301,0,0,12.5201,63.32,17489
35,0,0,-1,72.4691,0,0,0,0,72.4691,0,0,1.38231,0,1904
36,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
37,0,0,-1,662,496.815,0,0,0,101.865,0,0,12.5294,63.32,17373
38,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
39,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
41,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
42,0,0,-1,171.3,69.3919,0,0,0,101.908,0,0,3.19769,0,4510
43,0,0,-1,420.975,320.946,0,0,0,100.029,0,0,7.90647,0,11073
44,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
45,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
46,0,0,-1,305.868,204.047,0,0,0,101.822,0,0,5.54872,0,8007
47,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
48,0,0,-1,662,598.68,0,0,0,0,0,0,12.0954,63.32,17393
49,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
300,0,0,-1,662,504.742,0,0,0,93.9376,0,0,11.7237,63.32,17891
301,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
302,0,0,-1,662,395.057,0,0,0,203.623,0,0,12.4369,63.32,17410
303,0,0,-1,662,431.918,0,0,0,166.762,0,0,10.0796,63.32,18480
304,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
305,0,0,-1,662,549.415,0,0,0,101.709,0,0,12.3034,10.876,17522
306,0,0,-1,662,496.72,0,0,0,101.96,0,0,12.431,63.32,17355
307,0,0,-1,662,409.745,0,0,0,188.935,0,0,12.0151,63.32,17319
308,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
