Event,Px,Py,Pz,Tot-OpAbs,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons,NOfScintPhotons
0,0.000638581,0.000650545,-1.0,4482.46,4048.36,0,434.108,0.0,0.0,0.0,0.0,166.99,0.0,1510,45658
1,0.00163474,-0.000155922,-0.999999,4804.64,4354.92,0,249.711,0.0,148.803,51.2086,0.0,175.548,0.0,2548,48981
2,-0.000268472,0.00122067,-0.999999,5082.58,3805.48,0,793.263,0.0,119.863,363.981,0.0,189.738,0.0,1774,51721
3,6.94124e-05,0.000584511,-1.0,3940.07,3545.97,0,394.102,0.0,0.0,0.0,0.0,147.325,0.0,1340,40220
4,0.000434113,0.000194111,-1.0,4144.62,3715.75,0,428.869,0.0,0.0,0.0,0.0,154.316,0.0,1642,42282
5,-8.34462e-06,0.000468501,-1.0,4715.26,3456.87,0,318.108,0.0,208.009,732.273,0.0,175.727,0.0,1798,48149
6,-9.33391e-05,-4.60573e-05,-1.0,4490.38,3944.63,0,105.145,0.0,148.47,292.142,0.0,168.763,0.0,1475,45944
7,0.00239589,0.00121583,-0.999996,4709.29,3879.89,0,829.401,0.0,0.0,0.0,0.0,175.434,0.0,1605,47911
8,0.000334733,0.000153943,-1.0,3456.27,3301.43,0,154.841,0.0,0.0,0.0,0.0,129.151,0.0,1341,35376
9,0.000342336,-0.00050623,-1.0,4309.11,3917.29,0,391.821,0.0,0.0,0.0,0.0,160.394,0.0,1502,43915
10,-0.000378459,-7.79728e-05,-1.0,3912.19,3517.92,0,394.265,0.0,0.0,0.0,0.0,146.79,0.0,1295,39960
11,0.000267739,-1.97847e-05,-1.0,4623.31,3723.94,0,357.387,0.0,148.802,393.184,0.0,172.705,0.0,1687,47232
12,0.000435008,0.000232702,-1.0,3878.31,3297.19,0,581.115,0.0,0.0,0.0,0.0,145.079,0.0,1404,39673
13,3.14997e-05,-0.000590564,-1.0,4197.29,3598.07,0,599.221,0.0,0.0,0.0,0.0,156.978,0.0,1427,42804
14,-0.000483588,-0.00217689,-0.999998,3814.33,3662.88,0,151.446,0.0,0.0,0.0,0.0,142.363,0.0,1354,39004
15,0.00102641,-0.000697289,-0.999999,5283.88,3746.86,0,435.553,0.0,297.104,804.361,0.0,198.255,0.0,1754,54078
